M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
4.9,0.69019608,0,0.893761762,-4.88E-02,2.037346804,3.09E-01,0.861534411,2.07371835,6
4.9,0.69019608,1,0.100370545,-9.98E-01,1.409764104,1.49E-01,-0.251811973,1.795949499,6
4.9,0.69019608,1,0.436162647,-3.60E-01,1.51308436,1.80E-01,-0.040958608,1.852662944,6
4.9,0.69019608,0,0.08278537,-1.08E+00,1.263636069,1.02E-01,-0.30980392,1.79504537,6
4.9,0.69019608,0,0.361727836,-4.42E-01,1.344588743,1.29E-01,-0.119186408,1.851380668,6
4.8,0.681241237,1,0.587710965,-2.31E-01,1.69966432,2.30E-01,0.167317335,1.875350697,5
4.8,0.681241237,1,0.559906625,-2.52E-01,1.859198362,2.69E-01,0.267171728,1.884965198,5
4.8,0.681241237,0,0.526339277,-2.79E-01,1.70969387,2.33E-01,0.155336037,1.86923172,5
4.8,0.681241237,0,0.700703717,-1.54E-01,1.930388618,2.86E-01,0.374748346,1.961848059,5
5.2,0.716003344,0,0.546542663,-2.62E-01,1.748575617,2.43E-01,0.152288344,1.954531943,4
5.2,0.716003344,0,0.703291378,-1.53E-01,1.882239848,2.75E-01,0.298853076,1.987398099,4
5.2,0.716003344,0,0.367355921,-4.35E-01,1.612465964,2.07E-01,0.139879086,1.936714758,4
5.2,0.716003344,0,0.582063363,-2.35E-01,1.671635597,2.23E-01,0.136720567,1.921061891,4
5.9,0.770852012,0,0.136720567,-8.64E-01,1.438384107,1.58E-01,0.075546961,1.904769626,4
5.9,0.770852012,0,0.064457989,-1.19E+00,1.569256833,1.96E-01,0.11058971,1.897791982,4
5.9,0.770852012,0,0.113943352,-9.43E-01,1.203848464,8.06E-02,-0.638272164,1.465531557,4
5.9,0.770852012,0,0.071882007,-1.14E+00,1.323045735,1.22E-01,-0.585026652,1.442636526,4
5.9,0.770852012,0,0.176091259,-7.54E-01,1.314077992,1.19E-01,-0.086186148,1.890476909,4
